"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"52","I'm waiting for the #PeakDistrict to be renamed as the #TimPeakeDistrict

#TimPeake

Can't believe ppl are going ape shit crazy over this!",FALSE,0,NA,2015-12-15 16:17:05,FALSE,NA,"676798138850615298",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","blubloodz",0,FALSE,FALSE,NA,NA
"53","RT @PeacockRowsley: The #PeakDistrict in winter is a more peaceful way to see Britain's best landscapes: https://t.co/RRxYE1w7Gf https://t.…",FALSE,0,NA,2015-12-15 16:17:03,FALSE,NA,"676798130277478402",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BytheSkydesign",6,TRUE,FALSE,NA,NA
"54","@notorious_vic5 @mrssaracduncan these things are awesome!!!! #Hunters #PeakDistrict",FALSE,0,"notorious_vic5",2015-12-15 16:09:28,FALSE,"676793733464129536","676796221059633152","373970142","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","funkytownlondon",1,FALSE,FALSE,NA,NA
"55","RT @peakdistrict: Two thirds of the High Peak trail resurfacing project has now finished; should all be completed before Christmas! https:/…",FALSE,0,NA,2015-12-15 15:57:12,FALSE,NA,"676793136102907904",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","PureBakewell",14,TRUE,FALSE,NA,NA
"56","RT @Biz_Hype: Get a stunning fine art #canvas, check out these #PeakDistrict photos - https://t.co/u623LHSyVB 

@paul_grogan https://t.co/u…",FALSE,0,NA,2015-12-15 15:56:31,FALSE,NA,"676792964182618112",NA,"<a href=""https://roundteam.co"" rel=""nofollow"">RoundTeam</a>","paul_grogan",1,TRUE,FALSE,NA,NA
"57","@BBCCountryfile Have fun. And remember the best bits of Derbyshire are in Staffordshire. #PeakDistrict",FALSE,0,"BBCCountryfile",2015-12-15 15:56:26,FALSE,"676792280305528832","676792941126529024","186092483","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MissLauraMarcus",0,FALSE,FALSE,NA,NA
"58","Get a stunning fine art #canvas, check out these #PeakDistrict photos - https://t.co/u623LHSyVB 

@paul_grogan https://t.co/uQyQl8qnLK",FALSE,0,NA,2015-12-15 15:55:16,FALSE,NA,"676792649593016321",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","Biz_Hype",1,FALSE,FALSE,NA,NA
"59","RT @MCPhotography73: Lost @Capturethepeaks @peakwalkdays @vpdd @CanonUKandIE @LEEFilters #peakdistrict #bolehillquarry #birchtrees https://…",FALSE,0,NA,2015-12-15 15:40:27,FALSE,NA,"676788922240905217",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Capturethepeaks",1,TRUE,FALSE,NA,NA
"60","RT @MCPhotography73: Worth the 5.30 wake up! @vpdd @Capturethepeaks @socialsheffield #stanageedge #peakdistrict #winter #snow #Derbyshire h…",FALSE,0,NA,2015-12-15 15:39:46,FALSE,NA,"676788747640414209",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Capturethepeaks",4,TRUE,FALSE,NA,NA
"61","RT @MCPhotography73: Sheep On The Edge @Capturethepeaks @vpdd @peakwalkdays @CanonUKandIE @LEEFilters #PeakDistrict #WinterWonderland https…",FALSE,0,NA,2015-12-15 15:39:28,FALSE,NA,"676788675313860608",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Capturethepeaks",8,TRUE,FALSE,NA,NA
